,symbol,id,orderId,orderListId,price,qty,quoteQty,commission,commissionAsset,time,isBuyer,isMaker,isBestMatch,readable time
8,BTCUSDT,839107059,5958299498,-1,43350.00000000,0.00063200,27.39720000,0.00000063,BTC,1621223661011,True,True,True,2021-05-17 11:54:21
9,BTCUSDT,839107061,5958299498,-1,43350.00000000,0.00056200,24.36270000,0.00000056,BTC,1621223661065,True,True,True,2021-05-17 11:54:21
10,BTCUSDT,839107065,5958299498,-1,43350.00000000,0.00809700,351.00495000,0.00000810,BTC,1621223661171,True,True,True,2021-05-17 11:54:21
11,BTCUSDT,839112907,5958343490,-1,43100.00000000,0.00467200,201.36320000,0.00000467,BTC,1621223777234,True,True,True,2021-05-17 11:56:17
12,BTCUSDT,839119689,5958332710,-1,42980.00000000,0.00468500,201.36130000,0.00000469,BTC,1621223846347,True,True,True,2021-05-17 11:57:26
13,BTCUSDT,839601818,5961115991,-1,44835.99000000,0.00451200,202.29998688,0.20229999,USDT,1621231796119,False,False,True,2021-05-17 14:09:56
14,BTCUSDT,839612507,5961155523,-1,44800.00000000,0.00603400,270.32320000,0.27032320,USDT,1621231963395,False,True,True,2021-05-17 14:12:43
15,BTCUSDT,839616031,5961193988,-1,44820.00000000,0.00452600,202.85532000,0.20285532,USDT,1621232031213,False,True,True,2021-05-17 14:13:51
16,BTCUSDT,839618740,5961214513,-1,44943.28000000,0.00678800,305.07498464,0.30507498,USDT,1621232085482,False,False,True,2021-05-17 14:14:45
17,BTCUSDT,839620362,5961222157,-1,45000.00000000,0.00339400,152.73000000,0.15273000,USDT,1621232103203,False,True,True,2021-05-17 14:15:03
18,BTCUSDT,839626541,5961244320,-1,45300.00000000,0.00305500,138.39150000,0.13839150,USDT,1621232164420,False,True,True,2021-05-17 14:16:04
19,BTCUSDT,840059767,5964261346,-1,45180.00000000,0.00033900,15.31602000,0.01531602,USDT,1621244374043,False,True,True,2021-05-17 17:39:34
20,BTCUSDT,840454477,5967190013,-1,44723.01000000,0.00165100,73.83768951,0.00000165,BTC,1621258074086,True,False,True,2021-05-17 21:27:54
21,BTCUSDT,840454511,5967164195,-1,44720.00000000,0.00220200,98.47344000,0.00000220,BTC,1621258075030,True,True,True,2021-05-17 21:27:55
22,BTCUSDT,840522011,5967204597,-1,44500.00000000,0.00114500,50.95250000,0.00000115,BTC,1621260717965,True,True,True,2021-05-17 22:11:57
23,BTCUSDT,840534438,5967792241,-1,44200.00000000,0.00600900,265.59780000,0.00000601,BTC,1621260951874,True,True,True,2021-05-17 22:15:51
24,BTCUSDT,840579844,5967851587,-1,43900.00000000,0.00262100,115.06190000,0.00000262,BTC,1621262151381,True,True,True,2021-05-17 22:35:51
25,BTCUSDT,840691763,5968991035,-1,43700.00000000,0.00394900,172.57130000,0.00000395,BTC,1621265752198,True,True,True,2021-05-17 23:35:52
26,BTCUSDT,840795510,5967795402,-1,43000.00000000,0.00463300,199.21900000,0.00000463,BTC,1621267872880,True,True,True,2021-05-18 00:11:12
27,BTCUSDT,840910843,5970346044,-1,42650.00000000,0.00322300,137.46095000,0.00000322,BTC,1621270565450,True,True,True,2021-05-18 00:56:05
28,BTCUSDT,844648048,5969027146,-1,41000.00000000,0.00420800,172.52800000,0.00000421,BTC,1621388815282,True,True,True,2021-05-19 09:46:55
29,BTCUSDT,895291377,6348639323,-1,34900.00000000,0.00691300,241.26370000,0.00000691,BTC,1623098909303,True,True,True,2021-06-08 04:48:29
30,BTCUSDT,895939657,6356099344,-1,33636.72000000,0.00516400,173.70002208,0.00000516,BTC,1623119223939,True,True,True,2021-06-08 10:27:03
31,BTCUSDT,896289014,6358284690,-1,32790.00000000,0.00553600,181.52544000,0.00000554,BTC,1623129662569,True,True,True,2021-06-08 13:21:02
32,BTCUSDT,897040084,6365591315,-1,31700.00000000,0.00453400,143.72780000,0.00000453,BTC,1623163917570,True,True,True,2021-06-08 22:51:57
33,BTCUSDT,900712845,6391375394,-1,37050.00000000,0.00323500,119.85675000,0.11985675,USDT,1623297101612,False,True,True,2021-06-10 11:51:41
34,BTCUSDT,900712847,6391375394,-1,37050.00000000,0.00673400,249.49470000,0.24949470,USDT,1623297102016,False,True,True,2021-06-10 11:51:42
35,BTCUSDT,900712848,6391375394,-1,37050.00000000,0.00070200,26.00910000,0.02600910,USDT,1623297102327,False,True,True,2021-06-10 11:51:42
36,BTCUSDT,900712850,6391375394,-1,37050.00000000,0.00062300,23.08215000,0.02308215,USDT,1623297102429,False,True,True,2021-06-10 11:51:42
37,BTCUSDT,901268944,6395364109,-1,37800.00000000,0.00542900,205.21620000,0.20521620,USDT,1623319372244,False,True,True,2021-06-10 18:02:52
38,BTCUSDT,901301707,6395444947,-1,38300.00000000,0.00271500,103.98450000,0.10398450,USDT,1623319449489,False,True,True,2021-06-10 18:04:09
43,BTCUSDT,909223830,6453129131,-1,40539.99000000,0.00842200,341.42779578,0.00000842,BTC,1623679604680,True,False,True,2021-06-14 22:06:44
42,BTCUSDT,909223829,6453129131,-1,40537.95000000,0.00900000,364.84155000,0.00000900,BTC,1623679604680,True,False,True,2021-06-14 22:06:44
41,BTCUSDT,909223828,6453129131,-1,40537.95000000,0.01184600,480.21255570,0.00001185,BTC,1623679604680,True,False,True,2021-06-14 22:06:44
40,BTCUSDT,909223827,6453129131,-1,40537.76000000,0.00147900,59.95534704,0.00000148,BTC,1623679604680,True,False,True,2021-06-14 22:06:44
39,BTCUSDT,909223826,6453129131,-1,40534.96000000,0.00468100,189.74414776,0.00000468,BTC,1623679604680,True,False,True,2021-06-14 22:06:44
50,ETHUSDT,488519588,4653459826,-1,2400.00000000,0.04958000,118.99200000,0.00004958,ETH,1623946090086,True,True,True,2021-06-18 00:08:10
51,ETHUSDT,489138752,4653454219,-1,2300.00000000,0.05174000,119.00200000,0.00005174,ETH,1624010046378,True,True,True,2021-06-18 17:54:06
44,BTCUSDT,917224765,6507021343,-1,36200.00000000,0.00374600,135.60520000,0.00000375,BTC,1624039200303,True,True,True,2021-06-19 02:00:00
52,ETHUSDT,490743918,4682633225,-1,2162.72000000,0.06439000,139.25754080,0.00006439,ETH,1624150570561,True,True,True,2021-06-20 08:56:10
45,BTCUSDT,919529724,6530483070,-1,33782.01000000,0.00225900,76.31356059,0.00000226,BTC,1624190677006,True,True,True,2021-06-20 20:04:37
53,ETHUSDT,492827900,4653476261,-1,1900.00000000,0.07042000,133.79800000,0.00007042,ETH,1624274928108,True,True,True,2021-06-21 19:28:48
46,BTCUSDT,922206435,6549996188,-1,32525.17000000,0.00234500,76.27152365,0.00000235,BTC,1624278973089,True,True,True,2021-06-21 20:36:13
54,ETHUSDT,493072789,4708213010,-1,1954.99000000,0.10204000,199.48717960,0.00010204,ETH,1624281539311,True,False,True,2021-06-21 21:18:59
47,BTCUSDT,922579661,6550745448,-1,32200.00000000,0.00747500,240.69500000,0.00000748,BTC,1624293362264,True,True,True,2021-06-22 00:36:02
55,ETHUSDT,493543138,4709561620,-1,1900.00000000,0.13753000,261.30700000,0.00013753,ETH,1624310151253,True,True,True,2021-06-22 05:15:51
48,BTCUSDT,922914996,6550738535,-1,31800.00000000,0.01009200,320.92560000,0.00001009,BTC,1624310190449,True,True,True,2021-06-22 05:16:30
56,ETHUSDT,493802878,4715964352,-1,1861.59000000,0.07012000,130.53469080,0.00007012,ETH,1624321486515,True,False,True,2021-06-22 08:24:46
57,ETHUSDT,494256817,4722794630,-1,1865.00000000,0.07011000,130.75515000,0.00007011,ETH,1624355118146,True,True,True,2021-06-22 17:45:18
58,ETHUSDT,518492547,5005152689,-1,1892.07000000,0.08033000,151.98998310,0.00008033,ETH,1626239965310,True,True,True,2021-07-14 13:19:25
49,BTCUSDT,955203581,6825354830,-1,31900.00000000,0.00635200,202.62880000,0.00000635,BTC,1626240181159,True,True,True,2021-07-14 13:23:01
59,ETHUSDT,521858258,5045732857,-1,1880.00000000,0.13614000,255.94320000,0.00013614,ETH,1626624140260,True,True,True,2021-07-19 00:02:20
0,ETHBTC,284807883,2057581983,-1,0.06068000,0.09600000,0.00582528,0.00009600,ETH,1627274025766,True,True,True,2021-07-26 12:33:45
1,ETHBTC,284808031,2057582445,-1,0.06060000,0.03900000,0.00236340,0.00003900,ETH,1627274067569,True,True,True,2021-07-26 12:34:27
2,ETHBTC,284808032,2057582445,-1,0.06060000,0.05000000,0.00303000,0.00005000,ETH,1627274067828,True,True,True,2021-07-26 12:34:27
3,ETHBTC,284808040,2057585447,-1,0.06059000,0.06700000,0.00405953,0.00006700,ETH,1627274068963,True,True,True,2021-07-26 12:34:28
4,ETHBTC,284921970,2057586874,-1,0.06040000,0.08000000,0.00483200,0.00008000,ETH,1627317549180,True,True,True,2021-07-27 00:39:09
5,ETHBTC,285027290,2057583086,-1,0.05900000,0.07300000,0.00430700,0.00007300,ETH,1627348782314,True,True,True,2021-07-27 09:19:42
6,ETHBTC,285253638,2057181327,-1,0.05800000,1.26100000,0.07313800,0.00126100,ETH,1627436596513,True,True,True,2021-07-28 09:43:16
7,ETHBTC,285282937,2066176532,-1,0.05750000,0.42300000,0.02432250,0.00042300,ETH,1627445766255,True,True,True,2021-07-28 12:16:06
60,ADAUSDT,244068897,2104700131,-1,2.12190000,94.25000000,199.98907500,0.09425000,ADA,1629166862560,True,True,True,2021-08-17 10:21:02
